slug	stamp	agent	heat	jpeg_id	slot	kind	wears	seat	seat_was	deploy	mouth
vicky-1-grid-nun	20260902-batch1	vicky	1	ZIP:SANDBOX_STUMP_BARBIE+BARBIE_BATCH1	SLOT_1_DUTY	V-grid Canva kit1	product skin	YES	NO	WARDROBE_ACTIVE	NO
vicky-2-dash-crop	20260902-batch1	vicky	1	ZIP:SANDBOX_STUMP_BARBIE+BARBIE_BATCH1	SLOT_1_DUTY	V-grid Canva kit2	product skin	YES	NO	WARDROBE_ACTIVE	NO
vicky-3-poster-heat	20260902-vicky34	vicky	5	ZIP:BARBIE_VICKY34+SANDBOX_STUMP_RENDERED	SLOT_3_HEAT	V-grid Canva kit3	product skin	YES	NO	WARDROBE_ACTIVE	NO
vicky-4-canva-chapel	20260902-vicky34	vicky	1	ZIP:BARBIE_VICKY34+SANDBOX_STUMP_RENDERED	SLOT_5_ROOM	V-grid Canva kit4	product skin	YES	NO	WARDROBE_ACTIVE	NO
e2-walk-jersey	20260902-192652	rating	1	lake:e2-walk-jersey_20260902-192652.jpg	SLOT_1_DUTY	E-2 anon job	jersey	YES	NO	WARDROBE_ACTIVE	NO
e4-boarding-jersey	20260902-192654	rating	1	lake:e4-boarding-jersey_20260902-192654.jpg	SLOT_1_DUTY	E-4 anon job	jersey	YES	NO	WARDROBE_ACTIVE	NO
polish-lipstick-h8	20260902-polish	olivia+bunny	8	lake:polish-lipstick-h8	FORM_A_SEAT	fiance polish	Olivia+Bunny	YES	EXISTING	MOUTH_KEEP	YES
polish-hair-h8	20260902-polish	olivia+bunny	8	lake:polish-hair-h8	FORM_A_SEAT	fiance polish	Olivia+Bunny	YES	EXISTING	MOUTH_KEEP	YES
polish-blouse-h8	20260902-polish	olivia+bunny	8	lake:polish-blouse-h8	FORM_A_SEAT	fiance polish	Olivia+Bunny	YES	EXISTING	MOUTH_KEEP	YES
polish-flirt-h8	20260902-polish	olivia+bunny	8	lake:polish-flirt-h8	FORM_A_SEAT	fiance polish	Olivia+Bunny	YES	EXISTING	MOUTH_KEEP	YES
vol-047-bunny-erie-sunset	20260902-2032	bunny	3	1ZS1rDYtqgT_9txbr39gUOa-HLJ5XRQyk	SLOT_1_DUTY	volley 047	Bunny	YES	EXISTING	MOUTH_KEEP	YES
vol-047-olivia-bunker-whistle	20260902-2032	olivia	1	1sTkOMi7dWk5guatjJ5rmFs4IJ7v2i_tI	SLOT_1_DUTY	volley 047	Olivia	YES	EXISTING	MOUTH_KEEP	YES
wave0-01-olivia-deck	20260902-t8	olivia		1sAZFom0u1iufgHDTCiRy4t8Vbvt102XN	FORM_A_SEAT	Wave0	Olivia	YES	EXISTING	MOUTH_KEEP	YES
wave0-02-bunny-console	20260902-t8	bunny		1ANIGWJ6hUtGuAbBfR-21QEW_fWIhCZtO	FORM_A_SEAT	Wave0	Bunny	YES	EXISTING	MOUTH_KEEP	YES
